Course,Year,Month,SWE,Meas.Date,Name
157,1926,1,6.2,07-JAN-1926,'DANA MEADOWS'
157,1926,3,14.8,18-FEB-1926,'DANA MEADOWS'
157,1926,5,17.4,23-APR-1926,'DANA MEADOWS'
157,1927,4,38.7,06-APR-1927,'DANA MEADOWS'
157,1928,4,20.0,29-MAR-1928,'DANA MEADOWS'
157,1929,4,16.0,02-APR-1929,'DANA MEADOWS'
157,1930,4,18.2,27-MAR-1930,'DANA MEADOWS'
157,1931,4,13.1,27-MAR-1931,'DANA MEADOWS'
157,1932,4,41.1,24-MAR-1932,'DANA MEADOWS'
157,1933,4,22.9,25-MAR-1933,'DANA MEADOWS'
157,1934,4,18.5,25-MAR-1934,'DANA MEADOWS'
157,1935,4,29.5,25-MAR-1935,'DANA MEADOWS'
157,1936,4,35.1,23-MAR-1936,'DANA MEADOWS'
157,1937,4,42.2,02-APR-1937,'DANA MEADOWS'
157,1938,4,40.6,30-MAR-1938,'DANA MEADOWS'
157,1939,4,17.9,01-APR-1939,'DANA MEADOWS'
157,1939,5,9.6,03-MAY-1939,'DANA MEADOWS'
157,1940,4,35.1,04-APR-1940,'DANA MEADOWS'
157,1941,4,38.2,29-MAR-1941,'DANA MEADOWS'
157,1942,4,35.8,31-MAR-1942,'DANA MEADOWS'
157,1943,4,37.5,31-MAR-1943,'DANA MEADOWS'
157,1944,4,26.4,01-APR-1944,'DANA MEADOWS'
157,1945,4,39.3,31-MAR-1945,'DANA MEADOWS'
157,1946,4,29.0,29-MAR-1946,'DANA MEADOWS'
157,1947,4,24.7,25-MAR-1947,'DANA MEADOWS'
157,1948,4,21.1,31-MAR-1948,'DANA MEADOWS'
157,1949,4,26.5,29-MAR-1949,'DANA MEADOWS'
157,1950,4,29.2,30-MAR-1950,'DANA MEADOWS'
157,1951,4,30.0,29-MAR-1951,'DANA MEADOWS'
157,1952,2,35.2,01-FEB-1952,'DANA MEADOWS'
157,1952,4,46.6,31-MAR-1952,'DANA MEADOWS'
157,1953,2,20.2,31-JAN-1953,'DANA MEADOWS'
157,1953,4,25.1,01-APR-1953,'DANA MEADOWS'
157,1954,2,12.6,31-JAN-1954,'DANA MEADOWS'
157,1954,4,29.1,29-MAR-1954,'DANA MEADOWS'
157,1955,2,16.3,27-JAN-1955,'DANA MEADOWS'
157,1955,4,21.2,30-MAR-1955,'DANA MEADOWS'
157,1956,2,45.2,03-FEB-1956,'DANA MEADOWS'
157,1956,4,45.4,28-MAR-1956,'DANA MEADOWS'
157,1957,2,8.6,30-JAN-1957,'DANA MEADOWS'
157,1957,4,20.8,27-MAR-1957,'DANA MEADOWS'
157,1958,2,14.2,29-JAN-1958,'DANA MEADOWS'
157,1958,4,36.2,27-MAR-1958,'DANA MEADOWS'
157,1959,2,8.5,28-JAN-1959,'DANA MEADOWS'
157,1959,4,18.4,31-MAR-1959,'DANA MEADOWS'
157,1960,2,6.8,26-JAN-1960,'DANA MEADOWS'
157,1960,4,21.3,30-MAR-1960,'DANA MEADOWS'
157,1961,2,9.3,25-JAN-1961,'DANA MEADOWS'
157,1961,4,19.8,29-MAR-1961,'DANA MEADOWS'
157,1962,2,13.0,29-JAN-1962,'DANA MEADOWS'
157,1962,4,35.8,27-MAR-1962,'DANA MEADOWS'
157,1963,3,17.8,26-FEB-1963,'DANA MEADOWS'
157,1963,4,22.2,26-MAR-1963,'DANA MEADOWS'
157,1964,2,11.2,28-JAN-1964,'DANA MEADOWS'
157,1964,4,15.7,31-MAR-1964,'DANA MEADOWS'
157,1965,2,29.6,28-JAN-1965,'DANA MEADOWS'
157,1965,4,35.0,30-MAR-1965,'DANA MEADOWS'
157,1966,2,19.5,01-FEB-1966,'DANA MEADOWS'
157,1966,4,22.4,29-MAR-1966,'DANA MEADOWS'
157,1967,2,29.6,01-FEB-1967,'DANA MEADOWS'
157,1967,4,36.3,29-MAR-1967,'DANA MEADOWS'
157,1967,5,47.7,02-MAY-1967,'DANA MEADOWS'
157,1967,6,38.0,01-JUN-1967,'DANA MEADOWS'
157,1968,2,11.0,30-JAN-1968,'DANA MEADOWS'
157,1968,4,19.7,02-APR-1968,'DANA MEADOWS'
157,1969,2,37.5,04-FEB-1969,'DANA MEADOWS'
157,1969,4,58.0,27-MAR-1969,'DANA MEADOWS'
157,1969,5,52.9,30-APR-1969,'DANA MEADOWS'
157,1969,6,23.0,04-JUN-1969,'DANA MEADOWS'
157,1970,2,24.7,03-FEB-1970,'DANA MEADOWS'
157,1970,4,26.7,31-MAR-1970,'DANA MEADOWS'
157,1971,2,21.7,02-FEB-1971,'DANA MEADOWS'
157,1971,4,25.8,30-MAR-1971,'DANA MEADOWS'
157,1972,2,22.8,01-FEB-1972,'DANA MEADOWS'
157,1972,4,21.1,30-MAR-1972,'DANA MEADOWS'
157,1973,2,20.5,30-JAN-1973,'DANA MEADOWS'
157,1973,4,31.5,28-MAR-1973,'DANA MEADOWS'
157,1973,5,31.6,02-MAY-1973,'DANA MEADOWS'
157,1974,2,26.8,29-JAN-1974,'DANA MEADOWS'
157,1974,3,34.3,05-MAR-1974,'DANA MEADOWS'
157,1974,4,33.4,26-MAR-1974,'DANA MEADOWS'
157,1975,2,12.9,29-JAN-1975,'DANA MEADOWS'
157,1975,3,24.3,28-FEB-1975,'DANA MEADOWS'
157,1975,4,32.8,27-MAR-1975,'DANA MEADOWS'
157,1975,6,30.7,28-MAY-1975,'DANA MEADOWS'
157,1976,2,5.3,20-JAN-1976,'DANA MEADOWS'
157,1976,3,14.0,05-MAR-1976,'DANA MEADOWS'
157,1976,4,11.9,25-MAR-1976,'DANA MEADOWS'
157,1976,5,11.9,28-APR-1976,'DANA MEADOWS'
157,1977,2,3.5,24-JAN-1977,'DANA MEADOWS'
157,1977,3,6.5,25-FEB-1977,'DANA MEADOWS'
157,1977,4,6.6,23-MAR-1977,'DANA MEADOWS'
157,1977,5,1.9,25-APR-1977,'DANA MEADOWS'
157,1978,2,30.4,25-JAN-1978,'DANA MEADOWS'
157,1978,3,42.0,28-FEB-1978,'DANA MEADOWS'
157,1978,4,46.5,29-MAR-1978,'DANA MEADOWS'
157,1979,2,18.4,24-JAN-1979,'DANA MEADOWS'
157,1979,3,28.6,02-MAR-1979,'DANA MEADOWS'
157,1979,4,32.4,29-MAR-1979,'DANA MEADOWS'
157,1980,2,26.1,24-JAN-1980,'DANA MEADOWS'
157,1980,4,44.7,25-MAR-1980,'DANA MEADOWS'
157,1980,5,39.8,07-MAY-1980,'DANA MEADOWS'
157,1981,2,12.0,06-FEB-1981,'DANA MEADOWS'
157,1981,3,14.1,26-FEB-1981,'DANA MEADOWS'
157,1981,4,26.5,28-MAR-1981,'DANA MEADOWS'
157,1982,2,29.8,30-JAN-1982,'DANA MEADOWS'
157,1982,3,34.6,25-FEB-1982,'DANA MEADOWS'
157,1982,4,49.8,08-APR-1982,'DANA MEADOWS'
157,1983,2,36.0,01-FEB-1983,'DANA MEADOWS'
157,1983,3,53.7,08-MAR-1983,'DANA MEADOWS'
157,1983,4,62.7,28-MAR-1983,'DANA MEADOWS'
157,1983,6,61.6,24-MAY-1983,'DANA MEADOWS'
157,1984,2,29.4,31-JAN-1984,'DANA MEADOWS'
157,1984,3,36.5,27-FEB-1984,'DANA MEADOWS'
157,1984,4,36.5,29-MAR-1984,'DANA MEADOWS'
157,1984,5,37.9,28-APR-1984,'DANA MEADOWS'
157,1985,2,20.1,30-JAN-1985,'DANA MEADOWS'
157,1985,3,22.1,26-FEB-1985,'DANA MEADOWS'
157,1985,4,25.1,26-MAR-1985,'DANA MEADOWS'
157,1985,5,21.8,27-APR-1985,'DANA MEADOWS'
157,1986,2,17.4,29-JAN-1986,'DANA MEADOWS'
157,1986,3,41.6,27-FEB-1986,'DANA MEADOWS'
157,1986,4,47.9,01-APR-1986,'DANA MEADOWS'
157,1986,5,49.8,26-APR-1986,'DANA MEADOWS'
157,1987,2,5.6,28-JAN-1987,'DANA MEADOWS'
157,1987,3,11.4,02-MAR-1987,'DANA MEADOWS'
157,1987,4,18.5,01-APR-1987,'DANA MEADOWS'
157,1987,5,8.6,30-APR-1987,'DANA MEADOWS'
157,1988,2,21.0,27-JAN-1988,'DANA MEADOWS'
157,1988,3,19.7,28-FEB-1988,'DANA MEADOWS'
157,1988,4,19.7,30-MAR-1988,'DANA MEADOWS'
157,1988,5,14.6,27-APR-1988,'DANA MEADOWS'
157,1989,2,17.2,01-FEB-1989,'DANA MEADOWS'
157,1989,3,18.5,28-FEB-1989,'DANA MEADOWS'
157,1989,4,26.3,30-MAR-1989,'DANA MEADOWS'
157,1989,5,21.2,29-APR-1989,'DANA MEADOWS'
157,1990,2,5.4,01-FEB-1990,'DANA MEADOWS'
157,1990,3,14.5,25-FEB-1990,'DANA MEADOWS'
157,1990,4,15.2,01-APR-1990,'DANA MEADOWS'
157,1990,5,10.4,26-APR-1990,'DANA MEADOWS'
157,1991,1,0.0,01-JAN-1991,'DANA MEADOWS'
157,1991,2,2.5,29-JAN-1991,'DANA MEADOWS'
157,1991,3,3.7,27-FEB-1991,'DANA MEADOWS'
157,1991,4,21.4,27-MAR-1991,'DANA MEADOWS'
157,1991,5,19.8,25-APR-1991,'DANA MEADOWS'
157,1992,2,9.4,30-JAN-1992,'DANA MEADOWS'
157,1992,3,15.9,26-FEB-1992,'DANA MEADOWS'
157,1992,4,17.3,28-MAR-1992,'DANA MEADOWS'
157,1992,5,12.1,25-APR-1992,'DANA MEADOWS'
157,1993,2,28.4,25-JAN-1993,'DANA MEADOWS'
157,1993,3,37.4,24-FEB-1993,'DANA MEADOWS'
157,1993,4,41.1,27-MAR-1993,'DANA MEADOWS'
157,1993,5,42.4,24-APR-1993,'DANA MEADOWS'
157,1994,2,7.1,31-JAN-1994,'DANA MEADOWS'
157,1994,3,13.8,25-FEB-1994,'DANA MEADOWS'
157,1994,4,17.6,29-MAR-1994,'DANA MEADOWS'
157,1994,5,13.1,28-APR-1994,'DANA MEADOWS'
157,1995,2,32.0,28-JAN-1995,'DANA MEADOWS'
157,1995,3,33.4,22-FEB-1995,'DANA MEADOWS'
157,1995,4,52.5,26-MAR-1995,'DANA MEADOWS'
157,1995,5,52.3,27-APR-1995,'DANA MEADOWS'
157,1996,2,16.4,26-JAN-1996,'DANA MEADOWS'
157,1996,3,31.2,23-FEB-1996,'DANA MEADOWS'
157,1996,4,35.7,25-MAR-1996,'DANA MEADOWS'
157,1996,5,37.5,27-APR-1996,'DANA MEADOWS'
157,1997,2,48.3,30-JAN-1997,'DANA MEADOWS'
157,1997,3,43.8,23-FEB-1997,'DANA MEADOWS'
157,1997,4,40.0,30-MAR-1997,'DANA MEADOWS'
157,1997,5,38.4,26-APR-1997,'DANA MEADOWS'
157,1998,2,19.1,25-JAN-1998,'DANA MEADOWS'
157,1998,3,41.3,26-FEB-1998,'DANA MEADOWS'
157,1998,4,45.2,26-MAR-1998,'DANA MEADOWS'
157,1998,5,47.6,24-APR-1998,'DANA MEADOWS'
157,1999,2,18.0,29-JAN-1999,'DANA MEADOWS'
157,1999,3,29.4,26-FEB-1999,'DANA MEADOWS'
157,1999,4,33.0,28-MAR-1999,'DANA MEADOWS'
157,1999,5,34.7,25-APR-1999,'DANA MEADOWS'
157,2000,2,12.3,30-JAN-2000,'DANA MEADOWS'
157,2000,3,22.5,25-FEB-2000,'DANA MEADOWS'
157,2000,4,28.3,27-MAR-2000,'DANA MEADOWS'
157,2000,5,22.3,01-MAY-2000,'DANA MEADOWS'
157,2001,2,9.8,01-FEB-2001,'DANA MEADOWS'
157,2001,3,17.1,26-FEB-2001,'DANA MEADOWS'
157,2001,4,21.0,27-MAR-2001,'DANA MEADOWS'
157,2001,5,23.0,25-APR-2001,'DANA MEADOWS'
157,2002,2,22.1,31-JAN-2002,'DANA MEADOWS'
157,2002,3,26.0,24-FEB-2002,'DANA MEADOWS'
157,2002,4,28.4,27-MAR-2002,'DANA MEADOWS'
157,2002,5,22.5,30-APR-2002,'DANA MEADOWS'
157,2003,2,21.4,30-JAN-2003,'DANA MEADOWS'
157,2003,3,22.3,25-FEB-2003,'DANA MEADOWS'
157,2003,4,24.3,30-MAR-2003,'DANA MEADOWS'
157,2003,5,29.3,30-APR-2003,'DANA MEADOWS'
157,2004,2,20.0,27-JAN-2004,'DANA MEADOWS'
157,2004,3,29.4,03-MAR-2004,'DANA MEADOWS'
157,2004,4,27.4,29-MAR-2004,'DANA MEADOWS'
157,2004,5,18.7,29-APR-2004,'DANA MEADOWS'
157,2005,2,27.4,27-JAN-2005,'DANA MEADOWS'
157,2005,3,35.0,24-FEB-2005,'DANA MEADOWS'
157,2005,4,40.3,27-MAR-2005,'DANA MEADOWS'
157,2005,5,42.9,29-APR-2005,'DANA MEADOWS'
157,2006,2,31.3,27-JAN-2006,'DANA MEADOWS'
157,2006,3,34.4,26-FEB-2006,'DANA MEADOWS'
157,2006,4,47.6,30-MAR-2006,'DANA MEADOWS'
157,2006,5,54.4,28-APR-2006,'DANA MEADOWS'
157,2007,2,9.3,25-JAN-2007,'DANA MEADOWS'
157,2007,3,16.9,26-FEB-2007,'DANA MEADOWS'
157,2007,4,20.1,30-MAR-2007,'DANA MEADOWS'
157,2007,5,16.8,25-APR-2007,'DANA MEADOWS'
157,2008,2,18.5,28-JAN-2008,'DANA MEADOWS'
157,2008,3,26.5,29-FEB-2008,'DANA MEADOWS'
157,2008,4,31.7,28-MAR-2008,'DANA MEADOWS'
157,2008,5,26.9,25-APR-2008,'DANA MEADOWS'
157,2009,2,15.2,27-JAN-2009,'DANA MEADOWS'
157,2009,3,21.7,22-FEB-2009,'DANA MEADOWS'
157,2009,4,26.5,26-MAR-2009,'DANA MEADOWS'
157,2009,5,26.1,28-APR-2009,'DANA MEADOWS'
157,2010,2,18.0,29-JAN-2010,'DANA MEADOWS'
157,2010,3,23.5,23-FEB-2010,'DANA MEADOWS'
157,2010,4,29.8,28-MAR-2010,'DANA MEADOWS'
157,2010,5,34.5,26-APR-2010,'DANA MEADOWS'
157,2011,2,26.3,28-JAN-2011,'DANA MEADOWS'
157,2011,3,37.0,01-MAR-2011,'DANA MEADOWS'
157,2011,4,47.0,01-APR-2011,'DANA MEADOWS'
157,2011,5,47.2,27-APR-2011,'DANA MEADOWS'
157,2011,6,34.0,03-JUN-2011,'DANA MEADOWS'
157,2012,2,7.2,29-JAN-2012,'DANA MEADOWS'
157,2012,3,7.9,26-FEB-2012,'DANA MEADOWS'
157,2012,4,14.8,29-MAR-2012,'DANA MEADOWS'
157,2012,5,12.0,24-APR-2012,'DANA MEADOWS'
157,2013,2,19.0,27-JAN-2013,'DANA MEADOWS'
157,2013,3,19.0,22-FEB-2013,'DANA MEADOWS'
157,2013,4,17.7,26-MAR-2013,'DANA MEADOWS'
157,2013,5,12.5,27-APR-2013,'DANA MEADOWS'
157,2014,2,3.0,28-JAN-2014,'DANA MEADOWS'
157,2014,3,10.5,22-FEB-2014,'DANA MEADOWS'
157,2014,4,16.0,28-MAR-2014,'DANA MEADOWS'
157,2014,5,12.0,24-APR-2014,'DANA MEADOWS'
157,2015,2,5.0,28-JAN-2015,'DANA MEADOWS'
157,2015,3,7.0,26-FEB-2015,'DANA MEADOWS'
157,2015,4,4.0,27-MAR-2015,'DANA MEADOWS'
157,2015,5,0.0,24-APR-2015,'DANA MEADOWS'
157,2016,2,19.0,29-JAN-2016,'DANA MEADOWS'
157,2016,3,23.5,24-FEB-2016,'DANA MEADOWS'
157,2016,4,26.5,30-MAR-2016,'DANA MEADOWS'
157,2016,5,22.5,25-APR-2016,'DANA MEADOWS'
157,2017,2,42.2,28-JAN-2017,'DANA MEADOWS'
157,2017,3,65.5,02-MAR-2017,'DANA MEADOWS'
157,2017,4,64.0,27-MAR-2017,'DANA MEADOWS'
157,2017,5,69.0,27-APR-2017,'DANA MEADOWS'
157,2018,2,7.5,27-JAN-2018,'DANA MEADOWS'
157,2018,3,9.0,22-FEB-2018,'DANA MEADOWS'
157,2018,4,20.0,26-MAR-2018,'DANA MEADOWS'
157,2018,5,18.5,23-APR-2018,'DANA MEADOWS'
157,2019,2,18.5,28-JAN-2019,'DANA MEADOWS'
157,2019,3,36.0,25-FEB-2019,'DANA MEADOWS'
157,2019,4,44.5,01-APR-2019,'DANA MEADOWS'
157,2019,5,41.4,26-APR-2019,'DANA MEADOWS'
